timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
1577399188.0,-27.694774937423364,-51.11178014193976,951.021675199922,6.0,276.7585,3.8956454,21,gps,0.8,1.1,1.4,3.6,,,,84,,3.7180918075552314,1.0
1577399189.0,-27.694764438351,-51.11182421477184,951.0259447144126,4.0,282.34207,4.7486253,21,gps,0.8,1.2,1.4,3.6,,,,84,,4.500234390809617,1.0
1577399190.0,-27.69474741406784,-51.111873785276586,951.1411406936888,4.0,287.60782,5.2124534,21,gps,0.8,1.1,1.4,3.6,,,,84,,5.240840670521379,1.0
1577399191.0,-27.69472633743494,-51.1119207678229,951.3815964889144,4.0,295.24384,5.388058,21,gps,0.8,1.1,1.4,3.6,,,,84,,5.189535129962609,1.0
1577399192.0,-27.69469706043468,-51.11196775267803,951.5220892061266,4.0,303.3309,5.7457943,21,gps,0.8,1.1,1.4,3.6,,,,84,,5.657205648189123,1.0
1577399193.0,-27.694662314850145,-51.11201584209129,951.754591253263,4.0,310.62546,6.230838,21,gps,0.8,1.2,1.5,3.6,,,,84,,6.109423877974007,1.0
1577399194.0,-27.69462112114098,-51.11206310473507,951.8828707819076,4.0,315.6941,6.701859,21,gps,0.8,1.2,1.5,3.6,,,,84,,6.524653082939962,1.0
1577399195.0,-27.694576969406825,-51.11211142298723,951.981680528752,4.0,316.70053,6.988153,20,gps,0.8,1.2,1.4,3.6,,,,84,,6.830290863509777,1.0
1577399196.0,-27.694529874143743,-51.11216157999592,952.30326718167,4.0,318.02658,7.189321,20,gps,0.8,1.2,1.4,3.6,,,,84,,7.191164288062942,1.0
1577399197.0,-27.694481103314267,-51.11221171646535,952.6934651475376,4.0,318.29208,7.368156,20,gps,0.8,1.2,1.5,3.6,,,,84,,7.325662909099589,1.0
1577399198.0,-27.694432372246,-51.1122597807216,953.3438349206552,4.0,318.8875,7.296962,20,gps,0.8,1.2,1.5,3.6,,,,84,,7.185950246236875,1.0
1577399199.0,-27.69438181354654,-51.1122988376582,954.0010830117704,6.0,321.54474,6.513724,20,gps,0.8,1.2,1.5,3.6,,,,84,,6.799359790245039,1.0
1577399200.0,-27.69433406533708,-51.11233364059309,954.841505029492,6.0,325.03262,6.207799,20,gps,0.8,1.2,1.4,3.6,,,,84,,6.307257802366182,1.0
1577399201.0,-27.694290649763385,-51.1123682109093,955.2362679667268,6.0,325.3083,5.976593,20,gps,0.9,1.3,1.6,3.6,,,,84,,5.89696596882936,1.0
1577399202.0,-27.69425031733262,-51.11239978119494,955.3674696780724,6.0,321.91565,5.7273264,20,gps,0.8,1.2,1.4,3.6,,,,84,,5.447284664932569,1.0
1577399203.0,-27.694213157098936,-51.11244295383285,955.6130130304116,4.0,313.94324,6.061702,20,gps,0.8,1.2,1.5,3.6,,,,84,,5.9238162313692,1.0
1577399204.0,-27.694177571543516,-51.11249866087586,955.7229546591328,4.0,306.29727,6.7029233,20,gps,0.8,1.2,1.5,3.6,,,,84,,6.763404518309051,1.0
1577399205.0,-27.694141866794933,-51.11256365588691,955.665053103648,4.0,302.29053,7.4164085,20,gps,0.8,1.2,1.5,3.6,,,,84,,7.533625448705151,1.0
1577399207.0,-27.69407548387696,-51.11270082695272,955.5882947608256,4.0,297.37457,7.513329,21,gps,0.8,1.4,1.6,3.6,,,,84,,15.400742503892316,2.0
1577399208.0,-27.69405171306351,-51.112767807839525,955.5770636024432,4.0,292.5376,7.005454,21,gps,0.8,1.4,1.6,3.6,,,,84,,7.112636598695817,1.0
1577399209.0,-27.694034826430435,-51.11283925315245,955.290224186292,4.0,288.3178,7.1747017,21,gps,0.8,1.1,1.4,3.6,,,,84,,7.291456717123999,1.0
1577399210.0,-27.694020172407185,-51.11291324439052,955.1699627803732,4.0,281.64542,7.3114514,21,gps,0.8,1.1,1.4,3.6,,,,84,,7.476843252448079,1.0
1577399211.0,-27.694011654567525,-51.11299194079131,955.0347907499172,4.0,277.18622,7.66436,21,gps,0.8,1.2,1.5,3.6,,,,84,,7.819657462675905,1.0
1577399212.0,-27.69400695479171,-51.11307136212032,955.2703712219812,4.0,274.28064,7.85933,22,gps,0.8,1.2,1.4,3.6,,,,84,,7.851278528930997,1.0
1577399213.0,-27.69400841491765,-51.11315368161486,954.9487260799189,4.0,268.3586,8.076528,20,gps,0.9,1.3,1.6,3.6,,,,84,,8.121468343734726,1.0
1577399214.0,-27.69401466259463,-51.11323896358462,954.4416174345782,4.0,265.33063,8.33214,19,gps,0.9,1.3,1.6,3.6,,,,84,,8.440511926959614,1.0
1577399215.0,-27.69402175403516,-51.11332334315321,953.9738327143358,4.0,264.91776,8.291763,19,gps,0.9,1.3,1.6,3.6,,,,84,,8.360073430608143,1.0
1577399216.0,-27.69402915036716,-51.11340586106152,953.2195099332286,4.0,264.32022,8.175237,20,gps,0.8,1.2,1.4,3.6,,,,84,,8.180589145494995,1.0
1577399217.0,-27.69403378784669,-51.11348756290586,952.287098203118,4.0,266.5253,8.045756,20,gps,0.8,1.2,1.4,3.6,,,,84,,8.075299179797085,1.0
1577399218.0,-27.694036424691674,-51.11356819241178,951.347592284716,4.0,267.36563,7.8955903,20,gps,0.8,1.2,1.4,3.6,,,,84,,7.95852271902299,1.0
1577399219.0,-27.69403753232786,-51.11364738164795,950.5573645202592,4.0,269.06232,7.71519,20,gps,0.8,1.2,1.4,3.6,,,,84,,7.812055203134687,1.0
1577399220.0,-27.694034557502818,-51.113723081898335,949.8724328319746,4.0,272.87997,7.4393373,20,gps,0.8,1.2,1.4,3.6,,,,84,,7.4742166657984335,1.0
1577399221.0,-27.69402467211269,-51.11379329653731,949.1937248213196,4.0,278.512,6.986426,20,gps,0.8,1.2,1.4,3.6,,,,84,,7.0119491858101215,1.0
1577399222.0,-27.694015410073074,-51.11386196364206,948.2078676483588,4.0,278.5959,6.758698,20,gps,0.8,1.3,1.5,3.6,,,,84,,6.850530192130608,1.0
1577399223.0,-27.69401022902088,-51.11393359979549,947.0766004374884,4.0,274.32312,7.0436616,20,gps,0.8,1.2,1.5,3.6,,,,84,,7.089355893758326,1.0
1577399224.0,-27.69401772978157,-51.11401248850642,946.2908675301512,4.0,263.62616,7.785521,20,gps,0.8,1.2,1.4,3.6,,,,84,,7.8257162180956925,1.0
1577399225.0,-27.694039530714832,-51.11409235530342,945.4839851797958,4.0,252.82549,8.2402935,20,gps,0.8,1.2,1.4,3.6,,,,84,,8.240029251719863,1.0
1577399226.0,-27.694071522124208,-51.11416762955743,945.1048226154126,4.0,244.03369,8.226353,19,gps,0.9,1.3,1.6,3.6,,,,84,,8.22783697245475,1.0
1577399228.0,-27.694157065643225,-51.11429261894266,943.949787223642,4.0,228.47874,7.6896877,18,gps,1.0,1.4,1.7,3.6,,,,84,,15.551780042382484,2.0
1577399229.0,-27.69420502906064,-51.1143514352203,942.8242916096832,6.0,227.43962,7.899977,18,gps,1.3,1.8,2.2,3.6,,,,84,,7.86812785092363,1.0
1577399230.0,-27.69425119859573,-51.11441303519543,941.9890724924968,6.0,229.31729,7.978798,19,gps,1.0,1.4,1.7,3.6,,,,84,,7.9432444522627,1.0
1577399231.0,-27.694300834761695,-51.1144809044842,940.8814069488355,6.0,230.48233,8.670463,19,gps,1.1,1.7,2.0,3.6,,,,84,,8.66433925257808,1.0
1577399232.0,-27.69434372479648,-51.114546363413545,941.2538196856534,6.0,232.32333,8.538149,19,gps,1.0,1.4,1.8,3.6,,,,84,,8.017417019336005,1.0
1577399233.0,-27.69438542923172,-51.11461750642536,941.0817553683586,8.0,233.95671,8.775868,19,gps,0.9,1.3,1.6,3.6,,,,84,,8.402489687842616,1.0
1577399234.0,-27.694440119401584,-51.114697924682325,940.5447277642892,8.0,234.31696,9.946298,19,gps,1.0,1.4,1.7,3.6,,,,84,,9.982510158159737,1.0
1577399235.0,-27.69449526431632,-51.11478143687034,939.9068349876616,8.0,235.21333,9.471197,19,gps,0.9,1.6,1.9,3.6,,,,84,,10.256629853373282,1.0
1577399236.0,-27.69454082643119,-51.114862381441256,939.4469932421064,8.0,234.37888,8.880051,19,gps,1.0,1.4,1.7,3.6,,,,84,,9.44665444272661,1.0
1577399237.0,-27.69458347732784,-51.11493106594856,938.7548514667444,8.0,235.04938,8.946359,19,gps,0.9,1.5,1.7,3.6,,,,84,,8.260594434169143,1.0
1577399238.0,-27.694635015204653,-51.11500995221631,937.2011410301636,8.0,234.45688,9.575609,19,gps,1.0,1.4,1.7,3.6,,,,84,,9.65213639500379,1.0
1577399239.0,-27.694690631832565,-51.1150934909903,935.9881781159148,8.0,233.13939,9.985972,19,gps,1.1,1.6,1.9,3.6,,,,84,,10.28994759085498,1.0
1577399240.0,-27.69474276771401,-51.115169916081854,935.168183986867,8.0,233.24156,9.828097,18,gps,1.1,1.4,1.8,3.6,,,,84,,9.497678257963688,1.0
1577399241.0,-27.69479170395977,-51.11525005401129,934.3322920610236,6.0,233.67497,9.35593,19,gps,1.0,1.6,1.9,3.6,,,,84,,9.585939162802795,1.0
1577399242.0,-27.694837324316357,-51.11532695360829,933.7271952112334,6.0,237.13448,8.654433,19,gps,1.0,1.3,1.6,3.6,,,,84,,9.115491427398503,1.0
1577399243.0,-27.694862647706984,-51.11540064155286,933.1992097270044,6.0,249.95728,7.3734765,19,gps,1.3,1.6,2.1,3.6,,,,84,,7.7913017846971835,1.0
1577399244.0,-27.69487102035293,-51.115460925319326,933.1551436971138,6.0,261.08044,5.8833427,19,gps,0.9,1.5,1.8,3.6,,,,84,,6.018192047502894,1.0
1577399245.0,-27.69487199535035,-51.11552184972598,933.6027395973008,6.0,265.84943,5.7872057,19,gps,1.0,1.7,2.0,3.6,,,,84,,6.010404809596409,1.0
1577399246.0,-27.694868872551044,-51.1155754945183,933.380811135449,8.0,269.26752,5.1008854,19,gps,1.0,1.5,1.8,3.6,,,,84,,5.302694062947911,1.0
1577399247.0,-27.694868521576243,-51.11562110846215,932.7207285844432,8.0,281.62842,4.7014456,20,gps,1.1,1.5,1.8,3.6,,,,84,,4.49941544578529,1.0
1577399249.0,-27.694819783901217,-51.11573464942393,934.7658416463746,8.0,316.31015,7.054512,18,gps,1.0,1.5,1.8,3.6,,,,84,,12.43365431468791,2.0
1577399250.0,-27.694759991769555,-51.11579748953281,935.3592110969928,12.0,310.81158,8.052769,18,gps,1.1,1.5,1.9,3.6,,,,84,,9.073140118967128,1.0
1577399251.0,-27.694695624537367,-51.115876103787855,935.3792147441897,12.0,309.1502,8.772404,19,gps,1.2,1.6,2.0,3.6,,,,84,,10.535975851001256,1.0
1577399252.0,-27.694632946707014,-51.115952310136464,935.6920285338822,12.0,307.959,9.495658,19,gps,1.1,1.6,2.0,3.6,,,,84,,10.234459876955942,1.0
1577399253.0,-27.694573335942028,-51.116027468103646,935.2990606905956,12.0,306.73178,10.183832,18,gps,1.0,1.5,1.8,3.6,,,,84,,9.929477419405341,1.0
1577399254.0,-27.694523286757796,-51.11611927785719,933.0006179320336,12.0,302.50528,10.042403,17,gps,1.1,1.5,1.9,3.6,,,,84,,10.619306957800333,1.0
1577399255.0,-27.694486799349217,-51.11622383865443,930.587456032521,12.0,300.05435,9.235614,17,gps,1.0,1.5,1.8,3.6,,,,84,,11.077907160412485,1.0
1577399256.0,-27.694445158880164,-51.1163046604413,929.895231546579,12.0,300.09888,8.713974,17,gps,0.9,1.3,1.6,3.6,,,,84,,9.211224264743331,1.0
1577399257.0,-27.694411516900068,-51.11636756773833,929.0944419207948,8.0,297.12173,7.8015947,17,gps,0.9,1.3,1.6,3.6,,,,84,,7.238835181628481,1.0
1577399258.0,-27.69438412892705,-51.11642960277683,927.6245942706412,8.0,294.99173,6.9778457,17,gps,0.8,1.3,1.5,3.6,,,,84,,6.830331007087495,1.0
1577399259.0,-27.694352561843957,-51.11648075413967,926.7523404577762,8.0,294.0652,7.019443,17,gps,0.9,1.5,1.8,3.6,,,,84,,6.139494368506618,1.0
